zone_id,hour_of_day,day_of_week,is_weekend,incident_count
Zone_7,5,3,0,4
Zone_15,1,3,0,1
Zone_12,22,1,0,3
Zone_1,9,0,0,4
Zone_5,1,5,1,5
Zone_11,15,2,0,2
Zone_7,22,6,1,5
Zone_8,3,0,0,5
Zone_13,18,2,0,5
Zone_13,21,4,0,3
Zone_10,13,1,0,2
Zone_13,8,1,0,6
Zone_11,15,4,0,3
Zone_1,7,0,0,4
Zone_6,13,1,0,3
Zone_14,23,2,0,4
Zone_12,12,1,0,1
Zone_9,22,4,0,0
Zone_9,16,6,1,3
Zone_12,16,4,0,2
Zone_2,14,3,0,4
Zone_8,16,3,0,2
Zone_5,5,3,0,4
Zone_6,4,0,0,1
Zone_5,5,5,1,5
Zone_14,10,5,1,4
Zone_8,22,0,0,2
Zone_15,7,4,0,2
Zone_4,10,3,0,2
Zone_1,23,5,1,6
Zone_10,18,4,0,5
Zone_4,18,3,0,4
Zone_1,13,5,1,5
Zone_13,10,2,0,2
Zone_8,9,4,0,5
Zone_2,12,1,0,2
Zone_5,8,0,0,4
Zone_8,5,6,1,5
Zone_14,11,1,0,3
Zone_11,8,1,0,4
Zone_1,7,5,1,3
Zone_8,10,0,0,5
Zone_11,13,1,0,4
Zone_9,17,6,1,5
Zone_15,0,0,0,0
Zone_7,1,5,1,4
Zone_3,6,2,0,1
Zone_8,9,3,0,6
Zone_11,3,4,0,2
Zone_13,4,2,0,3
Zone_2,9,4,0,6
Zone_13,14,3,0,2
Zone_13,7,4,0,2
Zone_2,18,2,0,7
Zone_11,9,5,1,6
Zone_15,13,2,0,0
Zone_8,17,0,0,3
Zone_12,10,3,0,1
Zone_4,4,4,0,3
Zone_15,8,5,1,5
Zone_8,8,5,1,7
Zone_5,13,3,0,2
Zone_1,21,6,1,3
Zone_5,14,0,0,3
Zone_5,8,2,0,5
Zone_6,1,6,1,3
Zone_11,16,2,0,2
Zone_3,21,0,0,2
Zone_1,16,4,0,3
Zone_2,20,0,0,5
Zone_9,16,3,0,1
Zone_8,16,6,1,5
Zone_3,23,2,0,1
Zone_13,16,4,0,2
Zone_2,0,5,1,6
Zone_2,5,2,0,2
Zone_8,22,6,1,5
Zone_14,1,3,0,6
Zone_7,2,6,1,5
Zone_9,14,4,0,0
Zone_12,14,1,0,6
Zone_5,13,6,1,5
Zone_7,9,6,1,7
Zone_4,17,1,0,3
Zone_2,2,6,1,5
Zone_5,4,5,1,5
Zone_12,2,3,0,3
Zone_8,13,6,1,5
Zone_1,13,0,0,2
Zone_9,21,5,1,5
Zone_5,10,5,1,6
Zone_9,5,1,0,2
Zone_12,22,4,0,0
Zone_11,5,2,0,3
Zone_5,6,1,0,5
Zone_14,1,3,0,3
Zone_4,18,1,0,3
Zone_8,10,3,0,3
Zone_6,1,6,1,6
Zone_15,19,2,0,4
Zone_11,12,2,0,3
Zone_2,20,0,0,4
Zone_1,10,1,0,3
Zone_5,11,3,0,4
Zone_3,4,3,0,5
Zone_14,15,2,0,6
Zone_8,17,0,0,5
Zone_15,9,6,1,6
Zone_14,14,4,0,4
Zone_2,22,4,0,5
Zone_11,9,6,1,6
Zone_8,2,3,0,3
Zone_3,4,2,0,0
Zone_7,11,6,1,3
Zone_4,21,0,0,4
Zone_14,1,6,1,6
Zone_13,17,2,0,2
Zone_4,16,4,0,2
Zone_9,15,3,0,2
Zone_4,4,0,0,1
Zone_13,13,5,1,6
Zone_1,20,5,1,5
Zone_1,23,3,0,2
Zone_5,4,2,0,6
Zone_13,1,0,0,3
Zone_4,21,4,0,2
Zone_2,8,0,0,8
Zone_3,19,1,0,3
Zone_2,17,5,1,7
Zone_15,8,3,0,3
Zone_8,2,2,0,2
Zone_3,1,3,0,0
Zone_8,4,2,0,3
Zone_12,14,5,1,2
Zone_10,17,5,1,5
Zone_5,12,0,0,2
Zone_14,18,1,0,6
Zone_13,0,5,1,5
Zone_11,15,0,0,2
Zone_9,20,1,0,2
Zone_6,6,4,0,2
Zone_10,9,2,0,3
Zone_15,17,3,0,3
Zone_13,13,2,0,4
Zone_8,12,2,0,2
Zone_14,6,1,0,4
Zone_12,14,5,1,5
Zone_2,3,2,0,3
Zone_6,16,1,0,2
Zone_11,17,1,0,4
Zone_3,19,4,0,3
Zone_6,14,6,1,3
Zone_10,1,5,1,5
Zone_7,14,6,1,5
Zone_2,14,5,1,4
Zone_11,2,0,0,3
Zone_5,14,4,0,3
Zone_5,2,2,0,3
Zone_2,2,0,0,3
Zone_12,15,2,0,1
Zone_13,20,6,1,6
Zone_3,11,4,0,2
Zone_9,13,6,1,3
Zone_4,3,0,0,1
Zone_12,21,5,1,3
Zone_8,7,2,0,3
Zone_2,17,5,1,8
Zone_6,8,2,0,3
Zone_12,13,6,1,4
Zone_1,9,1,0,4
Zone_1,0,0,0,1
Zone_13,19,1,0,4
Zone_10,13,1,0,2
Zone_12,16,2,0,0
Zone_6,8,5,1,7
Zone_8,7,1,0,4
Zone_7,10,3,0,3
Zone_10,2,6,1,6
Zone_12,22,3,0,0
Zone_3,18,6,1,5
Zone_7,20,6,1,6
Zone_2,5,1,0,4
Zone_9,2,3,0,0
Zone_13,21,6,1,3
Zone_12,16,5,1,4
Zone_4,11,5,1,4
Zone_3,8,3,0,3
Zone_4,1,6,1,5
Zone_10,21,4,0,1
Zone_2,7,4,0,4
Zone_4,15,5,1,4
Zone_14,13,1,0,2
Zone_6,12,0,0,1
Zone_13,14,5,1,5
Zone_7,5,0,0,3
Zone_5,0,3,0,2
Zone_7,14,6,1,3
Zone_6,13,1,0,1
Zone_1,4,3,0,4
Zone_4,10,4,0,2
Zone_5,16,0,0,3
Zone_15,5,3,0,2
Zone_2,8,6,1,7
Zone_13,0,6,1,3
Zone_5,4,0,0,4
Zone_4,20,1,0,5
Zone_9,17,4,0,3
Zone_7,11,5,1,4
Zone_14,12,3,0,3
Zone_8,17,4,0,3
Zone_13,5,4,0,2
Zone_7,22,1,0,3
Zone_1,7,6,1,5
Zone_9,13,3,0,2
Zone_14,20,4,0,6
Zone_2,5,6,1,6
Zone_5,12,6,1,7
Zone_4,5,2,0,4
Zone_1,23,5,1,4
Zone_1,11,1,0,3
Zone_13,0,0,0,3
Zone_10,10,2,0,2
Zone_10,1,5,1,5
Zone_2,5,3,0,3
Zone_9,11,4,0,2
Zone_4,14,2,0,5
Zone_11,22,6,1,4
Zone_9,3,2,0,1
Zone_6,18,1,0,3
Zone_5,19,5,1,6
Zone_12,2,1,0,3
Zone_10,10,6,1,4
Zone_15,6,6,1,3
Zone_13,9,3,0,5
Zone_1,11,4,0,4
Zone_5,21,3,0,2
Zone_15,9,1,0,3
Zone_8,23,0,0,2
Zone_4,17,2,0,5
Zone_1,22,1,0,1
Zone_3,11,1,0,2
Zone_5,14,2,0,4
Zone_9,13,4,0,2
Zone_3,6,4,0,1
Zone_7,8,0,0,4
Zone_12,13,2,0,2
Zone_7,12,5,1,3
Zone_1,3,2,0,3
Zone_9,6,3,0,3
Zone_11,20,5,1,9
Zone_3,21,5,1,3
Zone_2,5,0,0,5
Zone_12,3,4,0,0
Zone_15,22,1,0,0
Zone_7,15,3,0,2
Zone_8,19,2,0,6
Zone_3,7,5,1,7
Zone_6,17,6,1,5
Zone_2,13,3,0,3
Zone_13,1,0,0,1
Zone_9,8,0,0,3
Zone_14,22,1,0,3
Zone_6,10,6,1,4
Zone_1,9,5,1,7
Zone_10,13,5,1,3
Zone_4,13,0,0,1
Zone_2,1,2,0,3
Zone_2,9,0,0,5
Zone_4,13,0,0,3
Zone_3,8,5,1,4
Zone_2,7,4,0,2
Zone_15,3,4,0,2
Zone_15,13,3,0,2
Zone_13,10,5,1,4
Zone_3,4,2,0,0
Zone_2,10,1,0,3
Zone_15,8,6,1,4
Zone_5,8,3,0,4
Zone_7,15,3,0,3
Zone_7,19,4,0,4
Zone_2,4,3,0,3
Zone_7,21,5,1,3
Zone_6,4,5,1,3
Zone_11,20,5,1,9
Zone_7,4,0,0,2
Zone_2,12,4,0,2
Zone_13,3,0,0,2
Zone_11,20,3,0,4
Zone_10,3,1,0,2
Zone_2,7,2,0,4
Zone_10,20,1,0,6
Zone_2,15,4,0,3
Zone_10,7,4,0,4
Zone_8,16,6,1,6
Zone_12,0,6,1,3
Zone_7,10,0,0,2
Zone_3,23,0,0,3
Zone_4,10,3,0,3
Zone_10,4,4,0,4
Zone_15,15,3,0,2
Zone_2,14,1,0,3
Zone_14,3,5,1,4
Zone_10,22,5,1,5
Zone_12,7,1,0,1
Zone_12,1,2,0,0
Zone_8,17,6,1,5
Zone_11,13,3,0,4
Zone_14,19,4,0,5
Zone_8,20,2,0,5
Zone_1,11,0,0,3
Zone_5,7,5,1,8
Zone_6,10,0,0,2
Zone_2,20,6,1,7
Zone_15,14,2,0,1
Zone_13,21,2,0,4
Zone_3,22,4,0,1
Zone_15,4,6,1,3
Zone_8,0,3,0,5
Zone_10,1,2,0,1
Zone_14,6,2,0,2
Zone_13,8,3,0,7
Zone_14,1,4,0,3
Zone_15,22,5,1,4
Zone_4,19,1,0,5
Zone_6,7,6,1,3
Zone_14,3,3,0,3
Zone_7,3,4,0,3
Zone_10,22,3,0,3
Zone_14,17,2,0,3
Zone_3,16,6,1,3
Zone_8,12,3,0,6
Zone_13,3,5,1,3
Zone_1,17,6,1,3
Zone_12,14,2,0,1
Zone_1,5,3,0,2
Zone_6,14,5,1,6
Zone_13,9,1,0,3
Zone_1,21,4,0,4
Zone_14,18,4,0,5
Zone_5,9,4,0,6
Zone_2,2,0,0,3
Zone_6,13,3,0,0
Zone_15,19,0,0,4
Zone_10,21,3,0,1
Zone_12,13,1,0,1
Zone_15,9,0,0,3
Zone_4,23,2,0,2
Zone_11,20,3,0,4
Zone_7,5,6,1,4
Zone_8,10,3,0,3
Zone_7,20,1,0,6
Zone_2,4,2,0,3
Zone_3,18,0,0,4
Zone_2,20,3,0,6
Zone_7,0,0,0,3
Zone_10,10,0,0,4
Zone_6,1,0,0,2
Zone_9,1,1,0,1
Zone_7,21,3,0,2
Zone_6,9,2,0,2
Zone_1,6,4,0,1
Zone_4,13,3,0,2
Zone_15,21,3,0,1
Zone_8,16,6,1,5
Zone_8,11,0,0,3
Zone_4,22,0,0,2
Zone_3,10,3,0,2
Zone_9,3,4,0,3
Zone_14,7,1,0,3
Zone_6,11,1,0,0
Zone_13,2,2,0,2
Zone_6,0,3,0,1
Zone_8,4,3,0,4
Zone_6,13,5,1,3
Zone_14,22,0,0,4
Zone_2,3,3,0,4
Zone_5,2,0,0,3
Zone_2,4,2,0,2
Zone_9,19,5,1,6
Zone_2,14,3,0,4
Zone_6,2,3,0,1
Zone_5,23,1,0,2
Zone_3,19,1,0,2
Zone_2,10,0,0,3
Zone_5,11,2,0,3
Zone_4,15,1,0,2
Zone_8,14,6,1,5
Zone_12,0,6,1,2
Zone_3,3,1,0,1
Zone_5,2,0,0,3
Zone_4,13,3,0,5
Zone_3,0,5,1,5
Zone_14,5,5,1,7
Zone_15,13,2,0,2
Zone_14,5,6,1,4
Zone_3,13,2,0,4
Zone_11,22,0,0,2
Zone_4,13,5,1,4
Zone_8,16,5,1,4
Zone_8,19,0,0,5
Zone_11,13,5,1,6
Zone_8,1,0,0,3
Zone_9,23,6,1,4
Zone_1,15,5,1,5
Zone_2,20,6,1,7
Zone_3,11,0,0,2
Zone_1,1,0,0,1
Zone_15,7,3,0,2
Zone_10,19,4,0,3
Zone_3,5,3,0,3
Zone_12,3,5,1,5
Zone_2,22,0,0,4
Zone_6,17,0,0,1
Zone_10,7,2,0,1
Zone_9,12,0,0,2
Zone_13,19,0,0,5
Zone_1,7,2,0,2
Zone_5,20,0,0,5
Zone_11,21,5,1,5
Zone_5,16,0,0,5
Zone_13,10,5,1,5
Zone_13,0,3,0,4
Zone_1,12,1,0,3
Zone_14,22,5,1,4
Zone_1,14,3,0,3
Zone_1,3,1,0,1
Zone_12,7,3,0,1
Zone_15,8,6,1,6
Zone_2,18,2,0,5
Zone_6,8,0,0,2
Zone_4,5,2,0,4
Zone_8,1,0,0,4
Zone_13,14,1,0,3
Zone_7,23,0,0,1
Zone_6,10,1,0,1
Zone_5,5,1,0,4
Zone_3,2,3,0,2
Zone_10,21,3,0,3
Zone_8,4,6,1,5
Zone_1,0,6,1,3
Zone_10,17,3,0,1
Zone_15,10,0,0,1
Zone_5,7,1,0,4
Zone_4,16,4,0,3
Zone_11,2,2,0,3
Zone_11,13,5,1,7
Zone_11,14,4,0,2
Zone_10,4,1,0,3
Zone_4,17,3,0,2
Zone_15,19,0,0,4
Zone_5,4,0,0,4
Zone_5,22,2,0,3
Zone_13,18,1,0,4
Zone_15,11,4,0,3
Zone_15,23,4,0,1
Zone_4,18,4,0,7
Zone_3,4,6,1,3
Zone_5,3,5,1,5
Zone_11,20,1,0,6
Zone_6,10,6,1,2
Zone_8,19,0,0,6
Zone_10,15,3,0,4
Zone_4,5,2,0,2
Zone_7,14,2,0,3
Zone_1,18,4,0,5
Zone_15,3,6,1,3
Zone_8,19,4,0,6
Zone_15,5,2,0,2
Zone_13,22,1,0,2
Zone_3,21,1,0,1
Zone_5,15,3,0,4
Zone_14,14,2,0,5
Zone_3,0,3,0,3
Zone_8,4,3,0,6
Zone_7,8,1,0,4
Zone_4,5,2,0,1
Zone_14,12,4,0,3
Zone_11,5,1,0,2
Zone_2,9,3,0,6
Zone_10,12,6,1,4
Zone_7,2,6,1,5
Zone_7,20,6,1,5
Zone_14,20,4,0,5
Zone_9,21,6,1,5
Zone_4,7,5,1,4
Zone_2,13,1,0,5
Zone_4,12,2,0,2
Zone_15,13,1,0,1
Zone_15,10,0,0,1
Zone_1,17,5,1,5
Zone_8,8,5,1,6
Zone_13,10,0,0,1
Zone_9,1,3,0,4
Zone_8,11,2,0,3
Zone_7,0,3,0,3
Zone_5,20,2,0,9
Zone_9,20,3,0,4
Zone_6,15,6,1,3
Zone_2,13,2,0,3
Zone_13,17,4,0,3
Zone_6,10,5,1,3
Zone_7,12,4,0,2
Zone_8,6,3,0,4
Zone_12,20,3,0,4
Zone_5,10,2,0,5
Zone_5,9,5,1,7
Zone_8,1,5,1,6
Zone_15,5,0,0,1
Zone_11,3,1,0,4
Zone_7,15,6,1,4
Zone_10,11,2,0,2
Zone_14,8,1,0,4
Zone_5,0,6,1,6
Zone_12,15,2,0,2
Zone_15,18,0,0,5
Zone_8,12,5,1,5
Zone_3,8,4,0,3
Zone_13,14,3,0,3
Zone_8,8,6,1,10
Zone_1,11,6,1,4
Zone_9,9,2,0,3
Zone_8,7,3,0,3
Zone_1,16,6,1,5
Zone_9,14,6,1,3
Zone_2,4,3,0,4
Zone_1,17,5,1,4
Zone_10,20,5,1,6
Zone_14,21,5,1,5
Zone_15,2,5,1,5
Zone_11,12,1,0,4
Zone_9,15,3,0,5
Zone_2,18,6,1,7
Zone_2,5,3,0,4
Zone_11,10,4,0,5
Zone_8,3,6,1,4
Zone_7,16,2,0,6
Zone_5,9,6,1,8
Zone_8,1,6,1,5
Zone_11,2,3,0,3
Zone_6,23,6,1,4
Zone_7,16,2,0,2
Zone_3,16,6,1,4
Zone_13,19,4,0,5
Zone_1,17,0,0,1
Zone_4,19,6,1,6
Zone_5,0,0,0,3
Zone_13,8,4,0,5
Zone_3,20,2,0,2
Zone_3,12,3,0,2
Zone_5,13,3,0,6
Zone_9,15,2,0,2
Zone_9,3,1,0,3
Zone_11,7,6,1,5
Zone_13,23,1,0,3
Zone_8,19,6,1,7
Zone_14,8,0,0,6
Zone_5,9,6,1,6
Zone_13,19,2,0,5
Zone_12,11,5,1,4
Zone_7,17,5,1,3
Zone_11,18,5,1,7
Zone_11,14,5,1,6
Zone_5,21,4,0,3
Zone_11,22,6,1,6
Zone_15,8,0,0,3
Zone_1,3,3,0,2
Zone_6,16,0,0,1
Zone_9,23,1,0,2
Zone_15,22,1,0,2
Zone_9,8,4,0,3
Zone_4,20,2,0,3
Zone_12,15,6,1,3
Zone_3,14,3,0,2
Zone_11,19,2,0,5
Zone_1,13,1,0,2
Zone_13,18,5,1,7
Zone_5,15,5,1,5
Zone_14,2,2,0,4
Zone_9,19,6,1,4
Zone_2,23,5,1,7
Zone_7,2,1,0,4
Zone_8,0,0,0,2
Zone_11,4,2,0,5
Zone_14,4,5,1,4
Zone_14,17,0,0,4
Zone_14,14,6,1,8
Zone_7,18,5,1,7
Zone_10,8,0,0,4
Zone_13,9,0,0,4
Zone_5,8,4,0,5
Zone_9,16,2,0,1
Zone_10,1,0,0,4
Zone_6,10,6,1,2
Zone_15,5,3,0,1
Zone_4,11,2,0,4
Zone_6,2,5,1,3
Zone_9,0,5,1,3
Zone_11,1,4,0,2
Zone_10,9,4,0,7
Zone_4,1,5,1,4
Zone_13,3,6,1,4
Zone_3,0,1,0,2
Zone_6,15,5,1,3
Zone_11,21,1,0,2
Zone_5,14,6,1,6
Zone_8,16,2,0,4
Zone_13,7,6,1,3
Zone_15,19,6,1,4
Zone_9,13,4,0,1
Zone_8,10,4,0,3
Zone_11,15,1,0,4
Zone_6,18,3,0,5
Zone_6,0,6,1,5
Zone_1,8,4,0,4
Zone_12,0,5,1,3
Zone_5,1,4,0,6
Zone_12,10,4,0,1
Zone_6,10,1,0,1
Zone_6,6,4,0,2
Zone_15,0,6,1,3
Zone_1,5,5,1,3
Zone_5,16,1,0,7
Zone_5,0,3,0,4
Zone_5,19,0,0,5
Zone_5,3,5,1,5
Zone_10,6,0,0,1
Zone_9,5,2,0,1
Zone_6,4,1,0,2
Zone_3,21,0,0,0
Zone_7,12,5,1,4
Zone_1,22,4,0,4
Zone_6,0,5,1,2
Zone_10,18,5,1,5
Zone_12,18,3,0,3
Zone_12,10,5,1,2
Zone_6,18,5,1,5
Zone_8,7,2,0,4
Zone_1,18,2,0,6
Zone_2,18,4,0,6
Zone_1,20,4,0,4
Zone_8,16,6,1,5
Zone_1,2,6,1,6
Zone_9,2,6,1,4
Zone_12,15,0,0,4
Zone_9,18,3,0,2
Zone_7,13,4,0,2
Zone_9,12,6,1,4
Zone_9,7,1,0,2
Zone_8,21,5,1,6
Zone_15,19,0,0,5
Zone_15,19,4,0,3
Zone_3,21,5,1,4
Zone_4,19,2,0,5
Zone_2,16,0,0,3
Zone_2,23,6,1,5
Zone_8,8,1,0,6
Zone_7,19,0,0,3
Zone_12,6,3,0,1
Zone_6,16,6,1,4
Zone_4,9,4,0,5
Zone_13,10,5,1,4
Zone_8,12,2,0,7
Zone_2,17,3,0,4
Zone_1,5,0,0,2
Zone_3,0,5,1,3
Zone_5,13,4,0,4
Zone_15,14,3,0,3
Zone_5,19,3,0,5
Zone_1,4,6,1,3
Zone_5,2,6,1,6
Zone_6,23,5,1,3
Zone_7,7,4,0,4
Zone_13,5,2,0,2
Zone_11,9,2,0,5
Zone_13,12,0,0,5
Zone_15,15,4,0,1
Zone_15,13,1,0,1
Zone_15,10,1,0,1
Zone_13,9,2,0,7
Zone_13,10,0,0,1
Zone_7,23,2,0,2
Zone_15,4,2,0,2
Zone_1,9,3,0,8
Zone_2,23,6,1,6
Zone_15,8,5,1,4
Zone_1,6,3,0,3
Zone_6,17,6,1,5
Zone_1,22,2,0,6
Zone_10,12,4,0,4
Zone_10,10,3,0,2
Zone_4,7,4,0,3
Zone_4,19,6,1,7
Zone_11,14,2,0,3
Zone_9,2,2,0,1
Zone_1,14,6,1,7
Zone_12,6,4,0,4
Zone_2,17,6,1,5
Zone_11,19,1,0,5
Zone_4,14,4,0,4
Zone_8,11,6,1,6
Zone_13,23,3,0,3
Zone_13,12,3,0,2
Zone_4,17,5,1,4
Zone_6,1,6,1,3
Zone_14,4,5,1,6
Zone_3,11,3,0,1
Zone_15,9,0,0,4
Zone_9,21,4,0,1
Zone_3,11,0,0,1
Zone_7,6,4,0,3
Zone_5,17,4,0,4
Zone_6,18,3,0,2
Zone_2,15,6,1,6
Zone_14,7,4,0,6
Zone_10,13,6,1,5
Zone_11,5,6,1,6
Zone_3,2,4,0,2
Zone_13,5,6,1,5
Zone_3,9,2,0,3
Zone_15,4,5,1,3
Zone_14,20,1,0,6
Zone_13,12,6,1,5
Zone_13,16,5,1,3
Zone_15,12,0,0,1
Zone_2,12,6,1,5
Zone_11,14,2,0,4
Zone_9,15,6,1,3
Zone_14,6,4,0,4
Zone_2,12,2,0,2
Zone_7,16,2,0,3
Zone_5,22,3,0,2
Zone_4,8,5,1,9
Zone_15,11,0,0,2
Zone_14,11,0,0,3
Zone_11,6,2,0,4
Zone_13,20,4,0,6
Zone_5,12,2,0,4
Zone_8,16,4,0,5
Zone_6,18,5,1,5
Zone_7,4,2,0,2
Zone_11,3,1,0,3
Zone_9,3,6,1,4
Zone_3,13,2,0,2
Zone_8,0,6,1,7
Zone_9,14,3,0,0
Zone_14,12,0,0,4
Zone_14,21,1,0,4
Zone_3,23,4,0,0
Zone_1,14,2,0,1
Zone_12,14,1,0,2
Zone_7,3,6,1,4
Zone_1,21,0,0,5
Zone_6,20,5,1,5
Zone_15,13,3,0,3
Zone_5,5,0,0,3
Zone_15,22,3,0,1
Zone_6,7,6,1,4
Zone_9,19,0,0,2
Zone_13,4,1,0,3
Zone_11,12,5,1,4
Zone_11,15,1,0,4
Zone_11,11,3,0,5
Zone_6,8,6,1,6
Zone_15,19,0,0,4
Zone_5,14,0,0,2
Zone_10,21,1,0,3
Zone_8,14,0,0,3
Zone_13,16,5,1,5
Zone_3,13,5,1,4
Zone_13,12,0,0,2
Zone_3,5,4,0,3
Zone_15,4,1,0,2
Zone_2,17,3,0,5
Zone_12,22,6,1,5
Zone_4,3,2,0,3
Zone_8,16,6,1,4
Zone_3,3,4,0,1
Zone_15,14,5,1,2
Zone_12,15,5,1,3
Zone_12,12,1,0,2
Zone_15,10,6,1,4
Zone_7,23,3,0,3
Zone_14,9,5,1,7
Zone_7,1,2,0,4
Zone_10,13,3,0,3
Zone_10,17,6,1,4
Zone_10,19,5,1,5
Zone_15,2,1,0,0
Zone_4,3,0,0,3
Zone_8,5,2,0,4
Zone_13,9,2,0,5
Zone_1,17,0,0,1
Zone_7,9,2,0,5
Zone_14,1,4,0,4
Zone_14,9,0,0,5
Zone_9,13,2,0,1
Zone_11,10,4,0,5
Zone_14,1,3,0,3
Zone_6,10,0,0,0
Zone_5,15,5,1,5
Zone_10,11,3,0,3
Zone_11,14,6,1,5
Zone_14,7,3,0,3
Zone_15,16,3,0,3
Zone_6,14,3,0,0
Zone_14,9,6,1,7
Zone_13,4,4,0,2
Zone_15,13,3,0,1
Zone_5,4,2,0,4
Zone_4,1,5,1,4
Zone_5,21,3,0,4
Zone_13,10,5,1,5
Zone_4,14,3,0,1
Zone_3,5,5,1,5
Zone_4,17,1,0,1
Zone_14,10,4,0,3
Zone_13,11,1,0,1
Zone_10,6,3,0,4
Zone_15,18,6,1,6
Zone_10,1,1,0,1
Zone_14,6,4,0,3
Zone_7,20,3,0,5
Zone_15,16,0,0,1
Zone_12,20,1,0,4
Zone_10,10,1,0,4
Zone_11,16,5,1,7
Zone_4,5,3,0,3
Zone_10,7,0,0,3
Zone_6,15,4,0,2
Zone_2,1,3,0,3
Zone_10,8,1,0,4
Zone_4,6,3,0,5
Zone_15,13,1,0,1
Zone_5,19,4,0,4
Zone_10,13,5,1,5
Zone_10,11,5,1,4
Zone_13,3,5,1,5
Zone_8,0,4,0,5
Zone_13,15,2,0,2
Zone_14,6,6,1,5
Zone_1,12,6,1,5
Zone_15,11,0,0,4
Zone_7,7,2,0,1
Zone_1,20,6,1,6
Zone_3,13,5,1,3
Zone_8,12,2,0,5
Zone_6,1,4,0,2
Zone_7,0,3,0,2
Zone_11,6,6,1,7
Zone_3,19,5,1,5
Zone_15,0,0,0,3
Zone_3,0,2,0,3
Zone_13,19,0,0,4
Zone_6,12,2,0,1
Zone_9,21,3,0,2
Zone_11,18,3,0,5
Zone_10,22,2,0,1
Zone_4,23,2,0,4
Zone_10,9,2,0,6
Zone_14,19,5,1,7
Zone_8,7,2,0,2
Zone_8,6,2,0,6
Zone_5,4,5,1,9
Zone_6,3,2,0,3
Zone_6,8,6,1,5
Zone_15,21,4,0,1
Zone_14,13,2,0,5
Zone_4,12,6,1,5
